Date,Close
1/2/2018,59.45
1/3/2018,60.21
1/4/2018,60.48
1/5/2018,61.46
1/8/2018,62.34
1/9/2018,62.64
1/10/2018,62.72
1/11/2018,63.83
1/12/2018,65.26
1/16/2018,65.24
1/17/2018,64.75
1/18/2018,64.67
1/19/2018,64.73
1/22/2018,66.37
1/23/2018,68.13
1/24/2018,67.88
1/25/2018,68.9
1/26/2018,70.1
1/29/2018,70.88
1/30/2018,71.89
1/31/2018,72.54
2/1/2018,69.5
2/2/2018,71.5
2/5/2018,69.5
2/6/2018,72.14
2/7/2018,70.84
2/8/2018,67.53
2/9/2018,66.98
2/12/2018,69.31
2/13/2018,70.73
2/14/2018,72.55
2/15/2018,73.09
2/16/2018,72.43
2/20/2018,73.42
2/21/2018,74.15
2/22/2018,74.27
2/23/2018,75
2/26/2018,76.1
2/27/2018,75.6
2/28/2018,75.62
3/1/2018,74.67
3/2/2018,75.01
3/5/2018,76.18
3/6/2018,76.88
3/7/2018,77.25
3/8/2018,77.59
3/9/2018,78.94
3/12/2018,79.92
3/13/2018,79.41
3/14/2018,79.55
3/15/2018,79.12
3/16/2018,78.58
3/19/2018,77.25
3/20/2018,79.33
3/21/2018,79.09
3/22/2018,77.25
3/23/2018,74.78
3/26/2018,77.79
3/27/2018,74.85
3/28/2018,71.57
3/29/2018,72.37
4/2/2018,68.6
4/3/2018,69.6
4/4/2018,70.53
4/5/2018,72.59
4/6/2018,70.26
4/9/2018,70.3
4/10/2018,71.81
4/11/2018,71.35
4/12/2018,72.43
4/13/2018,71.54
4/16/2018,72.08
4/17/2018,75.19
4/18/2018,76.39
4/19/2018,77.85
4/20/2018,76.37
4/23/2018,75.89
4/24/2018,73
4/25/2018,73.01
4/26/2018,75.9
4/27/2018,78.63
4/30/2018,78.31
5/1/2018,79.11
5/2/2018,78.48
5/3/2018,78.6
5/4/2018,79.05
5/7/2018,80.01
5/8/2018,79.62
5/9/2018,80.4
5/10/2018,80.45
5/11/2018,80.15
5/14/2018,80.08
5/15/2018,78.81
5/16/2018,79.36
5/17/2018,79.09
5/18/2018,78.72
5/21/2018,79.27
5/22/2018,79.07
5/23/2018,80.09
5/24/2018,80.15
5/25/2018,80.51
5/29/2018,80.64
5/30/2018,81.24
5/31/2018,81.48
6/1/2018,82.08
6/4/2018,83.26
6/5/2018,84.82
6/6/2018,84.79
6/7/2018,84.47
6/8/2018,84.2
6/11/2018,84.46
6/12/2018,84.94
6/13/2018,85.24
6/14/2018,86.19
6/15/2018,85.8
6/18/2018,86.19
6/19/2018,86.74
6/20/2018,87.5
6/21/2018,86.51
6/22/2018,85.78
6/25/2018,83.16
6/26/2018,84.55
6/27/2018,83.03
6/28/2018,85.07
6/29/2018,84.99
7/2/2018,85.69
7/3/2018,84.7
7/5/2018,84.99
7/6/2018,85.53
7/9/2018,86.95
7/10/2018,87.15
7/11/2018,87.75
7/12/2018,89.83
7/13/2018,90.65
7/16/2018,91.12
7/17/2018,92.2
7/18/2018,92.15
7/19/2018,90.65
7/20/2018,90.69
7/23/2018,90.1
7/24/2018,91.46
7/25/2018,93.18
7/26/2018,90.4
7/27/2018,90.86
7/30/2018,88.96
7/31/2018,88.87
8/1/2018,89.86
8/2/2018,91.72
8/3/2018,91.16
8/6/2018,92.39
8/7/2018,93.12
8/8/2018,94.33
8/9/2018,94.93
8/10/2018,94.32
8/13/2018,94.81
8/14/2018,95.98
8/15/2018,94.13
8/16/2018,94.33
8/17/2018,94.11
8/20/2018,93.84
8/21/2018,94.17
8/22/2018,95.25
8/23/2018,95.15
8/24/2018,95.27
8/27/2018,96.38
8/28/2018,96.64
8/29/2018,99.91
8/30/2018,100.12
8/31/2018,100.64
9/4/2018,101.98
9/5/2018,99.74
9/6/2018,97.92
9/7/2018,97.6
9/10/2018,96.95
9/11/2018,99.36
9/12/2018,99.5
9/13/2018,99.49
9/14/2018,98.51
9/17/2018,95.4
9/18/2018,97.05
9/19/2018,96.32
9/20/2018,97.22
9/21/2018,95.75
9/24/2018,96.72
9/25/2018,98.73
9/26/2018,98.74
9/27/2018,100.65
9/28/2018,100.15
10/1/2018,100.22
10/2/2018,98.57
10/3/2018,97.64
10/4/2018,95.47
10/5/2018,94.48
10/8/2018,93.22
10/9/2018,93.52
10/10/2018,87.76
10/11/2018,85.97
10/12/2018,89.43
10/15/2018,88.05
10/16/2018,91
10/17/2018,91.59
10/18/2018,88.54
10/19/2018,88.2
10/22/2018,89.47
10/23/2018,88.44
10/24/2018,83.21
10/25/2018,89.11
10/26/2018,82.14
10/29/2018,76.94
10/30/2018,76.52
10/31/2018,79.9
11/1/2018,83.28
11/2/2018,83.28
11/5/2018,81.39
11/6/2018,82.14
11/7/2018,87.77
11/8/2018,87.75
11/9/2018,85.62
11/12/2018,81.84
11/13/2018,81.56
11/14/2018,79.95
11/15/2018,80.97
11/16/2018,79.67
11/19/2018,75.61
11/20/2018,74.77
11/21/2018,75.84
11/23/2018,75.1
11/26/2018,79.07
11/27/2018,79.07
11/28/2018,83.89
11/29/2018,83.68
11/30/2018,84.51
12/3/2018,88.62
12/4/2018,83.42
12/6/2018,84.96
12/7/2018,81.46
12/10/2018,82.05
12/11/2018,82.16
12/12/2018,83.18
12/13/2018,82.92
12/14/2018,79.6
12/17/2018,76.05
